SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
130585,6087342,Active,currency 1,-496,0,600.0,,,0,135000.0,86683.5,0.0,0.0,Consumer credit,-38,
146804,6392393,Closed,currency 1,-1229,0,-1042.0,-1042.0,,0,22144.5,0.0,,0.0,Consumer credit,-1032,0.0
124164,6444658,Active,currency 1,-259,0,106.0,,0.0,0,31900.5,15475.5,0.0,0.0,Consumer credit,-45,
287935,5126216,Closed,currency 1,-2908,0,-2602.0,-2372.0,13167.0,0,37854.0,,,0.0,Consumer credit,-2371,3784.5
205664,5247475,Closed,currency 1,-717,0,379.0,-388.0,,0,1597500.0,,,0.0,Consumer credit,-388,
351583,6657660,Closed,currency 1,-2581,0,,-618.0,3406.5,0,74970.09,0.0,74970.09,0.0,Credit card,-618,
125565,6122943,Closed,currency 1,-1995,0,-1660.0,-1689.0,,0,114943.95,0.0,,0.0,Consumer credit,-828,19026.0
281206,6280522,Closed,currency 1,-943,0,-820.0,-791.0,,0,33390.0,0.0,0.0,0.0,Consumer credit,-754,19589.985
161717,6448345,Closed,currency 1,-1449,0,-1326.0,-1338.0,,0,74587.5,0.0,,0.0,Consumer credit,-1320,0.0
145641,6447998,Active,currency 1,-1048,0,47.0,,,0,247500.0,17253.0,0.0,0.0,Consumer credit,-11,8824.5
183855,5818331,Active,currency 1,-2713,0,-2049.0,,,0,225000.0,0.0,,0.0,Credit card,-16,
363637,5061212,Active,currency 1,-548,0,30939.0,,,0,37791.0,0.0,0.0,0.0,Credit card,-11,0.0
128492,6596221,Closed,currency 1,-2203,0,-1991.0,-2020.0,0.0,0,41678.1,0.0,0.0,0.0,Consumer credit,-2020,
287863,5974095,Closed,currency 1,-693,0,-277.0,-201.0,,0,0.0,0.0,0.0,0.0,Credit card,-198,
396584,5759599,Active,currency 1,-1094,0,-181.0,,,0,669784.5,,,0.0,Consumer credit,-1001,32926.5
254348,6458932,Active,currency 1,-812,0,547.0,,,0,90000.0,31261.5,0.0,0.0,Credit card,-91,
270311,5520095,Closed,currency 1,-784,0,,-359.0,0.0,0,225000.0,0.0,0.0,0.0,Credit card,-149,
413971,6364124,Closed,currency 1,-1747,0,-1639.0,-1639.0,,0,50431.5,,,0.0,Consumer credit,-1639,
200244,6000883,Active,currency 1,-605,0,492.0,,5729.67,0,225000.0,120852.405,0.0,0.0,Consumer credit,-14,8280.0
425600,6840567,Closed,currency 1,-2730,0,-586.0,-1176.0,18000.0,0,225000.0,-160.785,225160.785,0.0,Credit card,-1176,
342608,6517207,Closed,currency 1,-1850,0,-1484.0,-1472.0,,0,202500.0,0.0,0.0,0.0,Consumer credit,-1021,
207010,6499585,Active,currency 1,-2705,0,,,15387.255,0,497250.0,495414.0,1834.155,0.0,Credit card,-10,
123510,5093943,Active,currency 1,-192,0,173.0,,,0,112500.0,71271.0,,0.0,Consumer credit,-31,
147536,5108728,Closed,currency 1,-2287,0,-462.0,-1187.0,0.0,0,427500.0,0.0,0.0,0.0,Consumer credit,-1187,
182044,5754711,Sold,currency 1,-2278,0,-1914.0,,,0,90922.5,,,0.0,Consumer credit,-2154,
153462,5276509,Active,currency 1,-462,0,10495.0,,0.0,0,74250.0,,,0.0,Credit card,-11,
329962,6575983,Active,currency 1,-554,0,1283.0,,,0,463500.0,437937.75,25562.25,0.0,Credit card,-17,
234254,5738442,Closed,currency 1,-2670,0,-2334.0,-2485.0,,0,35154.0,0.0,,0.0,Consumer credit,-844,
173105,5024887,Closed,currency 1,-1465,0,-1222.0,-1327.0,,0,82845.0,0.0,,0.0,Consumer credit,-1325,
309280,6159695,Closed,currency 1,-1984,0,-1709.0,-1709.0,,0,135000.0,0.0,,0.0,Credit card,-1706,0.0
409744,5955415,Closed,currency 1,-2778,0,-1678.0,-1473.0,0.0,0,135000.0,0.0,0.0,0.0,Credit card,-1471,
436043,5425408,Closed,currency 1,-2855,0,-2551.0,-2551.0,0.0,0,49491.0,0.0,0.0,0.0,Consumer credit,-2549,
362897,6430024,Active,currency 1,-227,0,1035.0,,,0,382500.0,28638.0,0.0,0.0,Credit card,-72,
345818,5495617,Closed,currency 1,-2675,0,-848.0,-1128.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-423,
262167,6118385,Closed,currency 1,-1130,0,-947.0,-937.0,,0,87984.0,0.0,0.0,0.0,Consumer credit,-807,
101599,5475835,Active,currency 1,-1046,0,,,0.0,0,337500.0,321651.0,15849.0,0.0,Credit card,-11,
352807,5725704,Closed,currency 1,-218,0,147.0,-159.0,0.0,0,75600.0,0.0,0.0,0.0,Consumer credit,-159,
105362,5523886,Closed,currency 1,-1644,0,-1280.0,-953.0,,0,105300.0,,,0.0,Consumer credit,-950,
283937,5397439,Closed,currency 1,-925,0,-500.0,-833.0,0.0,0,107184.555,0.0,0.0,0.0,Consumer credit,-833,
370628,6409984,Closed,currency 1,-1923,0,-1557.0,-1536.0,,0,57105.0,0.0,0.0,0.0,Consumer credit,-941,37499.985
294274,6450246,Closed,currency 1,-2495,0,-1399.0,-1756.0,,0,1272555.0,0.0,,0.0,Car loan,-1756,
306719,6829430,Closed,currency 1,-323,0,-230.0,-230.0,0.0,0,31948.47,0.0,0.0,0.0,Consumer credit,-224,30516.345
132891,5248365,Closed,currency 1,-1027,0,-723.0,-751.0,,0,130055.04,0.0,,0.0,Consumer credit,-690,
243172,5042474,Active,currency 1,-54,0,189.0,,,0,90000.0,79785.0,0.0,0.0,Consumer credit,-20,
112376,5678328,Closed,currency 1,-834,0,4644.0,-651.0,,0,1377000.0,0.0,0.0,0.0,Mortgage,-357,
145750,6493181,Active,currency 1,-90,0,641.0,,0.0,0,111625.605,102753.0,0.0,0.0,Consumer credit,-22,
217311,5873762,Closed,currency 1,-1959,0,-133.0,-1594.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-1589,
413263,5959366,Active,currency 1,-277,0,270.0,,12397.905,0,240750.0,149287.5,0.0,0.0,Consumer credit,-29,13374.99
354259,6702834,Closed,currency 1,-1241,0,-937.0,-878.0,,0,64323.0,,,0.0,Consumer credit,-875,
341985,5753668,Active,currency 1,-256,0,1061.0,,,0,459000.0,41818.5,0.0,0.0,Credit card,-25,
201973,6355593,Active,currency 1,-219,0,529.0,,0.0,0,102023.775,78381.855,0.0,0.0,Consumer credit,-9,
355144,5978755,Closed,currency 1,-798,0,-251.0,-510.0,,0,75960.0,0.0,0.0,0.0,Consumer credit,-509,
144133,6425763,Closed,currency 1,-676,0,-523.0,-645.0,,0,72900.0,0.0,,0.0,Consumer credit,-640,
195940,6580117,Active,currency 1,-95,0,957.0,,0.0,0,67500.0,44427.735,23072.265,0.0,Credit card,-29,45777.735
272710,6214288,Closed,currency 1,-2638,0,-1544.0,-1555.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-847,
435893,5171176,Active,currency 1,-995,0,832.0,,,0,180000.0,0.0,,0.0,Consumer credit,-29,
194167,6543177,Closed,currency 1,-162,0,-130.0,-31.0,,0,13500.0,0.0,,0.0,Microloan,-31,
222189,5078447,Closed,currency 1,-918,0,-857.0,-820.0,,0,45000.0,0.0,,0.0,Consumer credit,-820,0.0
157856,5970720,Closed,currency 1,-2523,0,30981.0,-883.0,,0,83250.0,0.0,,0.0,Credit card,-883,
365335,5590991,Closed,currency 1,-790,0,-486.0,-486.0,0.0,0,94725.0,0.0,0.0,0.0,Consumer credit,-486,
117696,5405239,Closed,currency 1,-582,0,,-244.0,0.0,0,423000.0,0.0,0.0,0.0,Credit card,-242,0.0
455869,6389628,Closed,currency 1,-2779,0,-2674.0,-2449.0,,0,109341.0,,,0.0,Consumer credit,-2449,
424210,6741802,Active,currency 1,-1783,0,,,0.0,0,270000.0,6966.0,263032.695,0.0,Credit card,-9,
184742,6577243,Active,currency 1,-703,0,393.0,,,0,483349.5,272475.0,0.0,0.0,Consumer credit,-23,27873.63
355730,6594992,Closed,currency 1,-601,0,1100.0,-174.0,,0,0.0,0.0,,0.0,Credit card,-169,
397973,6081771,Active,currency 1,-190,0,-12.0,,,0,23193.0,,,0.0,Consumer credit,-15,
395345,5716319,Closed,currency 1,-400,0,-156.0,-275.0,,0,176229.0,0.0,0.0,0.0,Consumer credit,-268,
203075,6734724,Closed,currency 1,-1390,0,-1235.0,-1235.0,0.0,0,77985.0,,,0.0,Consumer credit,-1229,
139938,6352163,Active,currency 1,-260,0,804.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-18,
213564,5322440,Active,currency 1,-795,0,300.0,,0.0,0,1464210.0,559062.0,,0.0,Consumer credit,-8,0.0
316941,6515320,Closed,currency 1,-801,0,,-621.0,,0,90000.0,,,0.0,Credit card,-621,
294682,6558822,Closed,currency 1,-1448,0,-1324.0,-1414.0,,0,14665.5,0.0,,0.0,Consumer credit,-1414,0.0
238766,5313822,Closed,currency 1,-1518,0,-1153.0,-1153.0,,0,226170.0,0.0,0.0,0.0,Consumer credit,-856,
120206,6161322,Active,currency 1,-375,0,356.0,,,0,702000.0,392566.5,0.0,0.0,Consumer credit,-6,
306587,6301888,Closed,currency 1,-1313,0,-977.0,-1037.0,,0,105205.5,0.0,,0.0,Consumer credit,-885,
276747,5964860,Active,currency 1,-474,0,641.0,,,0,72000.0,57186.0,0.0,0.0,Credit card,-6,
427336,6128568,Active,currency 1,-56,0,,,0.0,0,84111.12,73147.5,10962.99,0.0,Credit card,-22,
242056,5481796,Closed,currency 1,-2387,0,-2021.0,-2081.0,0.0,0,435735.0,0.0,0.0,0.0,Consumer credit,-2074,
159694,6769614,Active,currency 1,-154,0,944.0,,,0,446022.0,411165.0,0.0,0.0,Consumer credit,-30,
295140,6369735,Closed,currency 1,-1337,0,-759.0,-1153.0,,0,279000.0,0.0,,0.0,Consumer credit,-15,
195125,6514658,Active,currency 1,-147,0,56.0,,,0,67500.0,2484.0,0.0,0.0,Credit card,-38,
401447,6061938,Active,currency 1,-278,0,,,0.0,0,157137.3,32841.0,124293.96,0.0,Credit card,-33,15713.73
187645,5414929,Closed,currency 1,-1461,0,-1218.0,-1218.0,,0,285750.0,0.0,,0.0,Consumer credit,-409,
333368,5397892,Active,currency 1,-2684,0,-1585.0,,0.0,0,225000.0,0.0,0.0,0.0,Credit card,-614,
250513,5850209,Active,currency 1,-1482,0,-397.0,,,0,337500.0,0.0,0.0,0.0,Credit card,-22,
445718,5532393,Active,currency 1,-2901,0,-1802.0,,3600.0,0,225000.0,-232.695,232.695,0.0,Credit card,-619,
345459,5215191,Active,currency 1,-57,0,126.0,,,0,47025.0,40063.5,0.0,0.0,Consumer credit,-16,
177482,5370310,Closed,currency 1,-2825,0,-2002.0,-2367.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-965,
326760,5211845,Active,currency 1,-253,0,1573.0,,,0,576000.0,534901.5,0.0,0.0,Consumer credit,-29,
273965,5493294,Closed,currency 1,-290,0,-108.0,-108.0,0.0,0,32099.175,0.0,0.0,0.0,Consumer credit,-108,
340639,6648618,Closed,currency 1,-2506,0,-2293.0,-2351.0,0.0,0,36602.19,0.0,0.0,0.0,Consumer credit,-2351,
246428,5964598,Closed,currency 1,-1489,0,-758.0,-901.0,,0,315000.0,0.0,0.0,0.0,Consumer credit,-890,0.0
167219,5653714,Closed,currency 1,-2194,0,-2013.0,-1029.0,,0,47020.5,,,0.0,Consumer credit,-1026,
443124,5425941,Closed,currency 1,-1453,0,-904.0,-875.0,,0,337500.0,0.0,0.0,0.0,Consumer credit,-779,
214709,5669556,Closed,currency 1,-2809,0,-2475.0,-2504.0,0.0,0,110133.45,0.0,0.0,0.0,Consumer credit,-2504,30379.5
183287,5602251,Active,currency 1,-555,0,2063.0,,12127.5,0,3690000.0,,,0.0,Mortgage,-18,
429796,6329336,Active,currency 1,-300,0,796.0,,0.0,0,559350.0,477139.5,0.0,0.0,Consumer credit,-18,
317744,5472822,Closed,currency 1,-855,0,-125.0,-220.0,,0,270000.0,0.0,0.0,0.0,Consumer credit,-9,
176606,6615251,Closed,currency 1,-1250,0,-172.0,-172.0,0.0,0,135000.0,0.0,135000.0,0.0,Credit card,-172,
371697,5405050,Closed,currency 1,-1359,0,-1175.0,-1175.0,,0,39510.0,0.0,,0.0,Consumer credit,-865,
443758,5488969,Closed,currency 1,-2270,0,-1721.0,-1803.0,,0,270000.0,0.0,0.0,0.0,Consumer credit,-1179,
230313,5527685,Active,currency 1,-2812,0,-1697.0,,18900.0,0,135000.0,0.0,0.0,0.0,Credit card,-683,
353118,5807992,Active,currency 1,-1890,0,-429.0,,,0,661320.0,419400.0,,0.0,Consumer credit,-549,
165485,6277093,Closed,currency 1,-1337,0,-970.0,-970.0,,0,35410.5,0.0,,0.0,Consumer credit,-964,0.0
168644,6787133,Closed,currency 1,-1371,0,-244.0,-943.0,,0,344097.0,0.0,,0.0,Consumer credit,-812,
296420,5279154,Active,currency 1,-1995,0,562.0,,,0,157500.0,27954.0,,0.0,Credit card,-130,8613.0
265207,5015053,Active,currency 1,-1393,0,9565.0,,8802.0,0,225000.0,,,0.0,Credit card,-10,
127687,6656357,Active,currency 1,-131,0,602.0,,0.0,0,360000.0,,,0.0,Consumer credit,-35,
270281,6152249,Active,currency 1,-77,0,1754.0,,,0,0.0,0.0,0.0,0.0,Credit card,-42,
190181,5955546,Closed,currency 1,-2543,0,-2177.0,-2177.0,0.0,0,99090.0,0.0,0.0,0.0,Consumer credit,-2177,
308941,6559605,Closed,currency 1,-1392,0,-1210.0,-1284.0,0.0,0,98894.52,,,0.0,Consumer credit,-1284,
254575,6413985,Closed,currency 1,-1389,0,-1218.0,-1217.0,,0,13500.0,0.0,0.0,0.0,Credit card,-912,
278439,5986878,Closed,currency 1,-690,0,-143.0,-143.0,,0,97893.0,0.0,,0.0,Consumer credit,-130,
384373,5150205,Closed,currency 1,-1966,0,-1663.0,-1008.0,,0,39114.0,,,0.0,Consumer credit,-1005,
423095,5499385,Closed,currency 1,-2052,0,-1748.0,-1748.0,,0,77661.0,0.0,,0.0,Consumer credit,-1746,14274.0
296263,5341153,Closed,currency 1,-1680,0,-1499.0,-949.0,,0,41715.0,,,0.0,Consumer credit,-946,
429261,6445220,Closed,currency 1,-1503,0,-1045.0,-1134.0,,0,90000.0,0.0,0.0,0.0,Consumer credit,-927,
384116,5131355,Closed,currency 1,-2696,0,-1171.0,-1170.0,0.0,1,135000.0,0.0,0.0,0.0,Credit card,-1170,
254916,6435383,Active,currency 1,-6,0,1821.0,,0.0,0,13500000.0,13500000.0,0.0,0.0,Consumer credit,-6,395451.0
207168,5896978,Active,currency 1,-172,0,1290.0,,,0,0.0,0.0,0.0,0.0,Credit card,-35,
440249,6786573,Active,currency 1,-227,0,627.0,,,0,103500.0,81913.5,0.0,0.0,Consumer credit,-12,
388092,6416374,Active,currency 1,-34,0,,,0.0,0,129894.84,129894.84,0.0,0.0,Credit card,-13,0.0
379061,6484837,Active,currency 1,-215,0,27315.0,,0.0,0,180000.0,162412.92,17587.08,0.0,Credit card,-16,4500.0
207062,5950603,Closed,currency 1,-2870,0,-2431.0,-2431.0,,0,99000.0,0.0,,0.0,Credit card,-1032,0.0
339418,5824824,Closed,currency 1,-685,0,-593.0,-593.0,,0,102604.5,0.0,,0.0,Consumer credit,-587,24120.0
366552,5803332,Closed,currency 1,-782,0,1044.0,-563.0,,0,630000.0,,,0.0,Consumer credit,-563,
106854,6547955,Active,currency 1,-980,0,865.0,,,0,441000.0,458885.205,,0.0,Credit card,-67,
154304,5841463,Closed,currency 1,-1926,0,-1196.0,-1197.0,,0,337905.0,0.0,,0.0,Consumer credit,-1195,13896.0
265634,6074210,Active,currency 1,-991,0,104.0,,,0,1563660.0,501403.5,,0.0,Car loan,-15,14857.515
296263,5341147,Closed,currency 1,-1441,0,-1106.0,-1135.0,265.275,0,22477.5,0.0,0.0,0.0,Consumer credit,-1135,
218071,6679249,Closed,currency 1,-855,0,-855.0,-855.0,0.0,0,0.0,0.0,0.0,0.0,Credit card,-855,
423943,6053915,Active,currency 1,-814,0,30953.0,,,0,54000.0,44392.5,,0.0,Credit card,-8,0.0
212831,6291881,Closed,currency 1,-1997,0,-1816.0,-1131.0,,0,70470.0,,,0.0,Consumer credit,-1128,0.0
180904,6162696,Closed,currency 1,-888,0,-76.0,-76.0,0.0,0,2475000.0,,,0.0,Mortgage,-40,4500.0
404781,6721475,Closed,currency 1,-2420,0,-2359.0,-2359.0,,0,225000.0,,,0.0,Consumer credit,-2359,
242618,6744638,Closed,currency 1,-1883,0,-1702.0,-1702.0,,0,122004.0,0.0,0.0,0.0,Consumer credit,-1676,0.0
234978,5452402,Active,currency 1,-161,0,1084.0,,,0,337500.0,300312.0,0.0,0.0,Credit card,-18,0.0
217680,6469189,Closed,currency 1,-2568,0,-2385.0,-2385.0,,0,36508.5,0.0,,0.0,Consumer credit,-1259,
306688,5625443,Closed,currency 1,-1274,0,553.0,-538.0,,0,825363.0,0.0,0.0,0.0,Car loan,-151,0.0
173025,5801041,Closed,currency 1,-2578,0,-2278.0,-2264.0,,0,56659.5,,,0.0,Consumer credit,-2264,
327408,6026442,Closed,currency 1,-1903,0,-1722.0,-1722.0,,0,36855.0,0.0,0.0,0.0,Consumer credit,-1687,0.0
310138,5116993,Active,currency 1,-128,0,207.0,,,0,27992.25,17736.795,,0.0,Consumer credit,-11,0.0
289216,6310734,Closed,currency 1,-608,0,-508.0,-508.0,0.0,0,303750.0,0.0,0.0,0.0,Consumer credit,-502,
310004,5346010,Closed,currency 1,-2671,0,-845.0,-845.0,,0,675000.0,0.0,0.0,0.0,Mortgage,-535,
395251,5302657,Closed,currency 1,-2322,0,-2108.0,-2197.0,0.0,0,96155.19,0.0,0.0,0.0,Consumer credit,-2197,
314721,5760549,Closed,currency 1,-511,0,219.0,-145.0,,0,320580.0,,,0.0,Consumer credit,-142,29137.5
336708,5181434,Closed,currency 1,-811,0,1746.0,-757.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-342,
439081,5900007,Closed,currency 1,-609,0,-244.0,-244.0,0.0,0,82980.0,0.0,0.0,0.0,Consumer credit,-243,
119833,5476735,Closed,currency 1,-2668,0,-2271.0,-2300.0,,0,50625.0,0.0,,0.0,Consumer credit,-735,
346376,5506135,Closed,currency 1,-2333,0,-1427.0,-2241.0,,0,135000.0,0.0,,0.0,Credit card,-734,
151017,6227751,Active,currency 1,-77,0,654.0,,0.0,0,900000.0,869121.0,0.0,0.0,Consumer credit,-46,
112508,5628179,Closed,currency 1,-2334,0,-2059.0,-2059.0,,0,113355.0,0.0,0.0,0.0,Consumer credit,-1712,2632.5
191302,5485605,Closed,currency 1,-1054,0,773.0,-201.0,,0,1125000.0,0.0,0.0,0.0,Consumer credit,-168,
228228,6219560,Closed,currency 1,-1024,0,72.0,-273.0,,0,337500.0,0.0,,0.0,Credit card,-273,
404068,5289403,Closed,currency 1,-2399,0,-2034.0,-1666.0,6271.965,0,35433.0,0.0,0.0,0.0,Consumer credit,-1666,
197263,6815903,Active,currency 1,-1425,0,-836.0,,,0,0.0,0.0,0.0,0.0,Credit card,-19,
398816,5106469,Closed,currency 1,-2464,0,-2129.0,-2143.0,20250.0,0,182250.0,0.0,0.0,0.0,Consumer credit,-2128,
122074,5874482,Closed,currency 1,-1928,0,,-1249.0,,0,315000.0,0.0,,0.0,Consumer credit,-519,0.0
324813,5382874,Active,currency 1,-540,0,862.0,,,0,67500.0,64732.5,0.0,0.0,Credit card,-12,
241046,6127807,Closed,currency 1,-1248,0,-879.0,-868.0,,0,68305.5,0.0,0.0,0.0,Consumer credit,-833,
443494,6238936,Active,currency 1,-1278,0,,,0.0,0,0.0,0.0,0.0,0.0,Credit card,-29,15543.0
140914,5153469,Active,currency 1,-87,0,644.0,,,0,231777.0,0.0,,0.0,Credit card,-25,
126489,5281561,Closed,currency 1,-2409,0,-2286.0,-2279.0,,0,88573.5,0.0,0.0,0.0,Consumer credit,-821,
193865,6174532,Active,currency 1,-327,0,,,,0,225000.0,342414.0,0.0,0.0,Credit card,-2,
114714,6102163,Active,currency 1,-186,0,1272.0,,0.0,0,1800000.0,1604631.06,0.0,0.0,Another type of loan,-26,
433946,5383243,Active,currency 1,-464,0,,,0.0,0,337500.0,320373.0,17123.625,0.0,Credit card,-14,40500.0
311006,6685889,Closed,currency 1,-2240,0,-1934.0,-1904.0,,0,37161.0,0.0,,0.0,Consumer credit,-1809,0.0
178302,5979508,Closed,currency 1,-1647,0,-916.0,-916.0,,0,69237.0,0.0,,0.0,Consumer credit,-914,
137184,6018735,Active,currency 1,-2827,0,-1711.0,,0.0,0,225000.0,0.0,0.0,0.0,Credit card,-698,0.0
179853,5408980,Active,currency 1,-203,0,31081.0,,,0,8865.0,9522.0,0.0,0.0,Credit card,-7,0.0
315663,6309378,Closed,currency 1,-1986,0,-1835.0,-1834.0,,0,58500.0,0.0,,0.0,Consumer credit,-1834,0.0
354097,6569585,Active,currency 1,-191,0,188.0,,0.0,0,488495.565,301985.415,0.0,0.0,Consumer credit,-3,0.0
443857,5955675,Closed,currency 1,-2565,0,-2381.0,-2381.0,,0,24786.0,0.0,,0.0,Consumer credit,-1052,
401409,5433521,Closed,currency 1,-1098,0,-1066.0,-1059.0,,0,32962.5,0.0,0.0,0.0,Consumer credit,-772,
340514,6275979,Active,currency 1,-693,0,693.0,,,0,180000.0,0.0,0.0,0.0,Credit card,-57,
252996,6195411,Closed,currency 1,-1508,0,,-339.0,0.0,0,78750.0,0.0,0.0,0.0,Credit card,-257,
406728,5211953,Active,currency 1,-283,0,1559.0,,,0,162000.0,0.0,,0.0,Credit card,-103,
294296,6510486,Closed,currency 1,-2475,0,-2355.0,-1078.0,,0,28350.0,,,0.0,Consumer credit,-1075,
125611,6178014,Closed,currency 1,-737,0,-706.0,-706.0,0.0,0,78538.725,0.0,0.0,0.0,Consumer credit,-702,
384009,6225396,Closed,currency 1,-686,0,-505.0,-476.0,,0,54000.0,,,0.0,Consumer credit,-468,
135912,6753475,Active,currency 1,-112,0,193.0,,0.0,0,79861.5,65983.5,0.0,0.0,Consumer credit,-39,
329258,5889638,Active,currency 1,-2800,0,-2063.0,,,0,450000.0,,,0.0,Consumer credit,-2070,4290.12
153246,6630816,Closed,currency 1,-1597,0,-1295.0,-1295.0,,0,121500.0,,,0.0,Consumer credit,-1295,
298446,5927646,Active,currency 1,-1795,0,,,0.0,0,13500.0,0.0,13500.0,0.0,Credit card,-960,
441008,5485111,Closed,currency 1,-2584,0,-2402.0,-2030.0,288.0,0,27630.0,,,0.0,Consumer credit,-2029,
362384,5815068,Closed,currency 1,-1326,0,-1173.0,-1171.0,,0,19048.5,0.0,0.0,0.0,Consumer credit,-983,0.0
152494,5795547,Active,currency 1,-148,0,706.0,,,0,951300.0,867181.5,0.0,0.0,Consumer credit,-37,
205360,6668285,Closed,currency 1,-427,0,304.0,-87.0,,0,225000.0,0.0,,0.0,Consumer credit,-87,0.0
242270,6797069,Closed,currency 1,-691,0,-324.0,-324.0,0.0,0,127078.2,0.0,0.0,0.0,Consumer credit,-318,36846.0
161895,6634352,Closed,currency 1,-2326,0,-2144.0,-2144.0,,0,25285.5,0.0,,0.0,Consumer credit,-1340,0.0
304705,5106241,Closed,currency 1,-1427,0,-1122.0,-1116.0,,0,120222.0,0.0,0.0,0.0,Consumer credit,-707,
418227,6098863,Active,currency 1,-1573,0,-1208.0,,,0,0.0,0.0,0.0,0.0,Credit card,-560,
