SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
455577,0,Cash loans,M,N,Y,1,238500.0,495000.0,13054.5,495000.0,Family,Working,Higher education,Married,Co-op apartment,0.026392,-19200,-191,-1121.0,-2742,,1,1,0,1,1,0,Security staff,3.0,2,2,TUESDAY,18,0,0,0,0,1,1,Business Entity Type 3,,0.6332826234094526,0.7324033228040929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-348.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,1.0,5.0
121022,0,Cash loans,M,Y,Y,3,157500.0,273636.0,27193.5,247500.0,Family,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.007305,-14410,-381,-8268.0,-3986,12.0,1,1,0,1,1,0,,5.0,3,3,FRIDAY,7,0,0,0,0,0,0,Kindergarten,,0.7842171819870271,0.7194907850918436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,,No,0.0,0.0,0.0,0.0,-1225.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
356898,1,Cash loans,F,Y,Y,1,126000.0,325908.0,17811.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00702,-14843,-898,-1499.0,-4746,64.0,1,1,0,1,0,1,,3.0,2,2,THURSDAY,15,0,0,0,0,0,0,Industry: type 11,,0.6526360945733339,0.3589512285783967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
188227,0,Cash loans,F,N,Y,0,90000.0,247500.0,12636.0,247500.0,Unaccompanied,Working,Lower secondary,Married,House / apartment,0.031329,-11239,-3018,-10042.0,-834,,1,1,0,1,1,0,Medicine staff,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,Medicine,0.5424976428802066,0.5669388269960463,0.5867400085415683,0.0825,0.0737,0.9816,0.7484,0.0129,0.0,0.2069,0.1667,0.2083,0.0645,0.0664,0.0769,0.0039,0.0044,0.084,0.0764,0.9816,0.7583,0.013,0.0,0.2069,0.1667,0.2083,0.066,0.0725,0.0801,0.0039,0.0047,0.0833,0.0737,0.9816,0.7518,0.013,0.0,0.2069,0.1667,0.2083,0.0656,0.0676,0.0783,0.0039,0.0045,reg oper account,block of flats,0.0615,Panel,No,1.0,1.0,1.0,1.0,-2010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
277766,0,Cash loans,F,N,Y,0,126000.0,799956.0,26568.0,607500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-20591,-2031,-7149.0,-3977,,1,1,0,1,0,0,High skill tech staff,1.0,2,2,MONDAY,14,0,0,0,0,0,0,Government,,0.0562893496514047,0.1735274304649146,0.0711,0.0848,0.9791,,,0.0,0.1379,0.1667,,0.0,,0.067,,0.0302,0.0725,0.088,0.9791,,,0.0,0.1379,0.1667,,0.0,,0.0699,,0.032,0.0718,0.0848,0.9791,,,0.0,0.1379,0.1667,,0.0,,0.0682,,0.0308,,block of flats,0.0593,Block,No,4.0,1.0,4.0,1.0,-1654.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
159125,0,Cash loans,F,N,Y,0,112500.0,148365.0,10678.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008625,-20551,-13630,-7851.0,-3920,,1,1,1,1,1,0,Medicine staff,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,Medicine,,0.3390861682087765,0.2188590822283744,0.0848,0.0631,0.9806,,,0.0,0.1897,0.1667,,0.0651,,0.0773,,0.0,0.063,0.0655,0.9811,,,0.0,0.1379,0.1667,,0.0602,,0.056,,0.0,0.0781,0.0631,0.9811,,,0.0,0.1724,0.1667,,0.0607,,0.072,,0.0,,block of flats,0.0522,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
388635,0,Cash loans,F,Y,N,0,180000.0,225000.0,14647.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.01885,-10989,-1149,-322.0,-3131,23.0,1,1,1,1,1,1,,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.4474041310722958,0.6997316986442518,0.4048783643353997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1818.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
219462,0,Cash loans,F,N,Y,0,157500.0,528318.0,27103.5,441000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,0.072508,-19700,-579,-13167.0,-3116,,1,1,0,1,1,0,,1.0,1,1,FRIDAY,11,0,0,0,0,0,0,Other,,0.6959970082869142,0.2539628093363117,0.5124,0.3656,0.9816,,,0.56,0.4828,0.3333,,0.6821,,0.4854,,0.005,0.5221,0.3794,0.9816,,,0.5639,0.4828,0.3333,,0.6976,,0.5058,,0.0053,0.5173,0.3656,0.9816,,,0.56,0.4828,0.3333,,0.6939,,0.4942,,0.0051,,block of flats,0.3829,Panel,No,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,5.0
220396,0,Cash loans,M,N,N,1,121500.0,149256.0,15669.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-13846,-515,-7507.0,-4711,,1,1,1,1,1,0,High skill tech staff,3.0,2,2,WEDNESDAY,14,0,0,0,0,1,1,Trade: type 3,,0.1819890004892585,0.2340151665320674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-85.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
156790,0,Cash loans,F,N,Y,0,135000.0,519633.0,44730.0,481500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-18334,-2550,-1958.0,-1867,,1,1,0,1,0,0,Core staff,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Self-employed,0.5668793600206202,0.6075878875985017,0.2940831009471255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,12.0,0.0,-484.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
359137,0,Cash loans,F,N,Y,1,135000.0,545040.0,26640.0,450000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.02461,-15533,365243,-4430.0,-4479,,1,0,0,1,1,0,,3.0,2,2,TUESDAY,16,0,0,0,0,0,0,XNA,,0.4639230408713445,0.5424451438613613,0.1412,,0.9935,,,0.12,0.1034,0.375,,0.0191,,0.0826,,0.0085,0.1439,,0.9935,,,0.1208,0.1034,0.375,,0.0195,,0.086,,0.0091,0.1426,,0.9935,,,0.12,0.1034,0.375,,0.0194,,0.084,,0.0087,,block of flats,0.1121,Block,No,1.0,0.0,0.0,0.0,-2047.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
269028,0,Revolving loans,F,N,N,0,202500.0,585000.0,29250.0,585000.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.010966,-9532,-464,-8133.0,-2194,,1,1,0,1,0,0,Accountants,1.0,2,2,MONDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.5542325071317236,,0.1124,0.0599,0.9886,0.8436,0.0206,0.12,0.1034,0.3333,0.375,0.0843,0.0908,0.1051,0.0039,0.0021,0.1145,0.0621,0.9886,0.8497,0.0208,0.1208,0.1034,0.3333,0.375,0.0862,0.0992,0.1095,0.0039,0.0022,0.1135,0.0599,0.9886,0.8457,0.0207,0.12,0.1034,0.3333,0.375,0.0858,0.0923,0.107,0.0039,0.0021,org spec account,block of flats,0.0944,Block,No,0.0,0.0,0.0,0.0,-149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
208736,0,Cash loans,M,N,N,0,315000.0,450000.0,35685.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.026392,-10899,-3506,-5320.0,-3577,,1,1,1,1,1,0,,1.0,2,2,WEDNESDAY,15,0,1,1,0,1,1,Business Entity Type 3,,0.6023882146009881,0.1261005588362325,0.0536,0.0403,0.9801,,,0.04,0.0345,0.3333,,0.0478,,0.0373,,0.0397,0.0546,0.0419,0.9801,,,0.0403,0.0345,0.3333,,0.0489,,0.0389,,0.042,0.0541,0.0403,0.9801,,,0.04,0.0345,0.3333,,0.0486,,0.038,,0.0405,,block of flats,0.038,"Stone, brick",No,3.0,0.0,3.0,0.0,-1720.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
115372,0,Cash loans,M,N,Y,0,54000.0,110331.0,11043.0,103500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-22827,365243,-10996.0,-4612,,1,0,0,1,0,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.2665197753925157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115,,No,8.0,0.0,8.0,0.0,-1843.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
139159,0,Cash loans,F,N,Y,0,47250.0,305955.0,21424.5,283500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,-21999,365243,-6342.0,-4588,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,9,0,0,0,0,0,0,XNA,,0.6385782901458846,0.8327850252992314,0.0825,0.0495,0.9786,0.7076,0.0179,0.0,0.2759,0.1667,0.2083,0.0528,0.0672,0.0817,0.0,0.0859,0.084,0.0513,0.9786,0.7190000000000001,0.018,0.0,0.2759,0.1667,0.2083,0.054,0.0735,0.0851,0.0,0.0909,0.0833,0.0495,0.9786,0.7115,0.018,0.0,0.2759,0.1667,0.2083,0.0537,0.0684,0.0832,0.0,0.0877,reg oper account,block of flats,0.0829,Panel,No,2.0,0.0,2.0,0.0,-783.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
153705,0,Cash loans,F,N,Y,1,270000.0,485640.0,39069.0,450000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.04622,-12770,-1828,-6876.0,-3521,,1,1,0,1,0,0,Core staff,3.0,1,1,FRIDAY,19,0,1,1,1,0,0,Security Ministries,0.2529092461558839,0.768705989373778,0.4686596550493113,,,,,,,,,,,,0.0552,,,,,,,,,,,,,,0.0575,,,,,,,,,,,,,,0.0562,,,,,0.0434,,No,3.0,0.0,3.0,0.0,-629.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
171518,0,Cash loans,F,N,Y,0,31500.0,113760.0,6480.0,90000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.020713,-24340,365243,-7737.0,-3871,,1,0,0,1,1,0,,1.0,3,3,WEDNESDAY,12,0,0,0,0,0,0,XNA,,0.4886982687833042,0.5954562029091491,0.0619,0.0536,0.9816,0.7484,0.01,0.0,0.1379,0.1667,0.2083,0.0437,0.0496,0.0532,0.0039,0.0031,0.063,0.0557,0.9816,0.7583,0.0101,0.0,0.1379,0.1667,0.2083,0.0447,0.0542,0.0554,0.0039,0.0033,0.0625,0.0536,0.9816,0.7518,0.0101,0.0,0.1379,0.1667,0.2083,0.0444,0.0504,0.0542,0.0039,0.0032,reg oper account,block of flats,0.0487,Panel,No,0.0,0.0,0.0,0.0,-267.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
254616,0,Cash loans,F,N,Y,1,112500.0,370107.0,20205.0,319500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175,-12627,-520,-5029.0,-5040,,1,1,1,1,0,0,,3.0,2,2,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.4250104420776238,0.6660291310439465,0.2238313174701554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-731.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
